"","date","rt","trial_type","trial_index","time_elapsed","internal_node_id","key_press","button_pressed","success","response","ID","appName","vendor","platform","userAgent","platform_name","platform_version","platform_layout","architecture","family","os_version","os","description","product","update_time","getStimParams_time","threshold","ex1_threshold","ex2_threshold","ex2_slope","ex2_lapse","ex4_threshold","ex4_c0","ex4_cf","ex5_threshold","ex5_c0","ex5_cf","ex5_cw","ex1_nAlerts","ex2_nAlerts","ex4_nAlerts","ex5_nAlerts","Trial","init_time","samples"
"4801","2021-12-08-13:13:17","NULL","html-keyboard-response",1,3047,"0.0-1.0","NULL","NULL","NULL","NULL","y13t24ez","Netscape","","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0","Firefox","94.0","Gecko",64,"Windows","10","Windows 10 64-bit","Firefox 94.0 on Windows 10 64-bit","NULL",3,0,"NULL",-19,-19,5,0,-38,-52,1.2,-40,-55,1.4,1,0,0,0,0,1,5,3362
"4993","2021-12-08-13:14:15","NULL","html-keyboard-response",1,3404,"0.0-1.0","NULL","NULL","NULL","NULL","xf45jvqh","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36 Edg/95.0.1020.53","Microsoft Edge","95.0.1020.53","Blink",64,"Windows","10","Windows 10 64-bit","Microsoft Edge 95.0.1020.53 on Windows 10 64-bit","NULL",0.40000000037253,0.39999999944121,"NULL",-22,-19,5,0,-32,-56,1.6,-40,-60,1.6,1.2,0,0,0,0,1,5.2999999998137,3362
"5185","2021-12-08-14:29:54","NULL","html-keyboard-response",1,2838,"0.0-1.0","NULL","NULL","NULL","NULL","kcpqq7x5","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","Chrome","96.0.4664.45","Blink",64,"Windows","10","Windows 10 64-bit","Chrome 96.0.4664.45 on Windows 10 64-bit","NULL",3.5,0.29999995231628,"NULL",-19,-18,5,0,-36,-46,1,-40,-50,1.2,1,0,0,0,0,1,7.5,3362
"5377","2021-12-08-14:30:39","NULL","html-keyboard-response",1,1945,"0.0-1.0","NULL","NULL","NULL","NULL","cdt0kssc","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43","Microsoft Edge","96.0.1054.43","Blink",64,"Windows","10","Windows 10 64-bit","Microsoft Edge 96.0.1054.43 on Windows 10 64-bit","NULL",2.3000000119209,0.30000001192093,"NULL",-20,-19,5,0,-36,-42,1,-40,-45,1,1,0,0,0,0,1,7.2000000476837,3362
"5569","2021-12-08-14:46:39","NULL","html-keyboard-response",1,91126,"0.0-1.0","NULL","NULL","NULL","NULL","2sddy63e","Netscape","","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0","Firefox","95.0","Gecko",64,"Windows","10","Windows 10 64-bit","Firefox 95.0 on Windows 10 64-bit","NULL",8,0,"NULL",-31,-19,5,0,-34,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,11,3362
"5761","2021-12-08-16:26:26","NULL","html-keyboard-response",1,9288,"0.0-1.0","NULL","NULL","NULL","NULL","wy4bex5k","Netscape","Apple Computer, Inc.","iPhone","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1","Safari","15.1","WebKit",32,"iOS","15.1","iOS 15.1","Safari 15.1 on Apple iPhone (iOS 15.1)","iPhone",4,0,"NULL",-21,-21,4,0,-32,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,17,3362
"5953","2021-12-14-11:05:31","NULL","html-keyboard-response",1,3597,"0.0-1.0","NULL","NULL","NULL","NULL","wq1tpzbv","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36","Chrome","96.0.4664.110","Blink",64,"Windows","10","Windows 10 64-bit","Chrome 96.0.4664.110 on Windows 10 64-bit","NULL",1.5999999940395,1.5,"NULL",-22,-20,2,0,-30,-60,1.4,-40,-60,1.4,1.2,0,0,0,0,1,5.8000000119209,3362
"6145","2021-12-14-11:06:26","NULL","html-keyboard-response",1,1772,"0.0-1.0","NULL","NULL","NULL","NULL","uhaa6sxw","Netscape","","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0","Firefox","95.0","Gecko",64,"Windows","10","Windows 10 64-bit","Firefox 95.0 on Windows 10 64-bit","NULL",3,0,"NULL",-18,-20,5,0.02,-30,-44,1.2,-40,-50,1.2,1,0,0,0,0,1,3,3362
"6337","2021-12-14-11:07:04","NULL","html-keyboard-response",1,3023,"0.0-1.0","NULL","NULL","NULL","NULL","jh14s2kp","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43","Microsoft Edge","96.0.1054.43","Blink",64,"Windows","10","Windows 10 64-bit","Microsoft Edge 96.0.1054.43 on Windows 10 64-bit","NULL",0.30000001192093,0,"NULL",-19,-21,2,0.04,-36,-42,1,-40,-50,1.2,1,0,0,0,0,1,4.1999999880791,3362
"6529","2022-01-11-13:26:50","NULL","html-keyboard-response",1,5518,"0.0-1.0","NULL","NULL","NULL","NULL","oa25hu7l","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36","Chrome","96.0.4664.110","Blink",64,"Windows","10","Windows 10 64-bit","Chrome 96.0.4664.110 on Windows 10 64-bit","NULL",1,1.0999999996275,"NULL",-20,-21,2,0,-50,-50,1.2,-35,-60,1.4,1.2,0,0,0,0,1,6.1000000014901,3362
"6721","2022-01-11-13:27:39","NULL","html-keyboard-response",1,6408,"0.0-1.0","NULL","NULL","NULL","NULL","u8am3jjx","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55","Microsoft Edge","97.0.1072.55","Blink",64,"Windows","10","Windows 10 64-bit","Microsoft Edge 97.0.1072.55 on Windows 10 64-bit","NULL",0.39999999850988,0.60000000149012,"NULL",-16,-20,4,0,-34,-50,1.2,-40,-50,1.2,1,0,0,0,0,1,7.6999999992549,3362
"6913","2022-01-11-13:28:47","NULL","html-keyboard-response",1,2245,"0.0-1.0","NULL","NULL","NULL","NULL","wa9xdgo7","Netscape","","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0","Firefox","95.0","Gecko",64,"Windows","10","Windows 10 64-bit","Firefox 95.0 on Windows 10 64-bit","NULL",2,0,"NULL",-19,-21,2,0.02,-40,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,8,3362
